brand,price,number_of_seat,start_time,start_day,end_day,end_time,trip_time,take_place,destination,location,id
Quang Hanh,320000,32 chỗ ngồi,17:30,20-05-2024,21-05-2024,05:30,12 giờ ,"Trạm Quang Hạnh - Bình Thạnh 349 Đinh Bộ Lĩnh, đối diện Bến xe Miền Đông - Cổng số 3",Bến xe phía Nam Nha Trang mới 1 Đường 23 tháng10,Nha Trang,33
Quang Hanh,320000,32 chỗ ngồi,17:45,20-05-2024,21-05-2024,01:55,8 giờ 10 phút,"Ngã Tư Bình Phước QL13, P. Hiệp Bình Phước, Q. Thủ Đức, Tp. Hồ Chí Minh","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,34
Quang Hanh,320000,32 chỗ ngồi,18:00,20-05-2024,21-05-2024,02:40,8 giờ 40 phút,"Bến xe An Sương Quốc Lộ 22, Xã Bà Điểm","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,35
Quang Hanh,320000,32 chỗ ngồi,18:00,20-05-2024,21-05-2024,03:10,9 giờ 10 phút,"Bến xe An Sương Quốc Lộ 22, Xã Bà Điểm",Bến xe phía Nam Nha Trang mới 1 Đường 23 tháng10,Nha Trang,36
Quang Hanh,400000,22 chỗ ngồi,18:00,20-05-2024,21-05-2024,04:10,10 giờ 10 phút,"Trạm Quang Hạnh - Bình Thạnh 349 Đinh Bộ Lĩnh, đối diện Bến xe Miền Đông - Cổng số 3",Bến xe phía Nam Nha Trang mới 1 Đường 23 tháng10,Nha Trang,37
Quang Hanh,320000,32 chỗ ngồi,18:30,20-05-2024,21-05-2024,02:40,8 giờ 10 phút,"Ngã Tư Bình Phước QL13, P. Hiệp Bình Phước, Q. Thủ Đức, Tp. Hồ Chí Minh","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,38
Quang Hanh,400000,22 chỗ ngồi,18:30,20-05-2024,21-05-2024,04:25,9 giờ 55 phút,"Trạm Quang Hạnh - Bình Thạnh 349 Đinh Bộ Lĩnh, đối diện Bến xe Miền Đông - Cổng số 3",Bến xe phía Nam Nha Trang mới 1 Đường 23 tháng10,Nha Trang,39
Quang Hanh,400000,22 chỗ ngồi,18:45,20-05-2024,21-05-2024,04:55,10 giờ 10 phút,"Trạm Quang Hạnh - Bình Thạnh 349 Đinh Bộ Lĩnh, đối diện Bến xe Miền Đông - Cổng số 3",Bến xe phía Nam Nha Trang mới 1 Đường 23 tháng10,Nha Trang,40
Huynh Gia,280000,38 chỗ ngồi,19:00,20-05-2024,21-05-2024,04:00,9 giờ ,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão,Văn Phòng Nha Trang  16-18 Nguyễn Chánh,Nha Trang,41
Huynh Gia,280000,38 chỗ ngồi,19:00,20-05-2024,21-05-2024,04:40,9 giờ 40 phút,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão,Ngã 3 Trong Quốc lộ 1A,Nha Trang,42
